number_of_qubits,number_of_classical_bits,depth,width,total_operations,single_qubit_gates,two_qubit_gates,three_qubit_gates,measurement_gates,parameterized_gates,entangling_gates,gate_ccx,gate_cp,gate_cx,gate_cz,gate_h,gate_measure,gate_rx,gate_ry,gate_rz,gate_s,gate_sdg,gate_swap,gate_sx,gate_t,gate_x,gate_y,gate_z
9,9,15,18,103,66,24,4,9,29,28,4,9,3,8,6,9,7,4,9,3,0,4,12,8,9,5,3
5,5,11,10,33,18,9,1,5,9,10,1,4,3,1,1,5,2,1,2,3,0,1,1,1,3,1,3
7,7,11,14,54,25,21,1,7,13,22,1,5,6,7,3,7,5,0,3,1,0,3,6,1,0,2,4
4,4,50,8,148,100,38,6,4,47,44,6,11,8,10,15,4,9,13,14,8,0,9,9,10,6,8,8
8,8,9,16,57,36,11,2,8,10,13,2,2,2,3,4,8,4,2,2,6,0,4,1,7,5,4,1
11,11,26,22,215,139,59,6,11,68,65,6,23,12,17,12,11,10,12,23,15,0,7,14,13,18,16,6
7,7,30,14,157,106,39,5,7,35,44,5,11,12,9,13,7,6,13,5,13,0,7,13,10,9,13,11
10,10,85,20,220,140,70,0,10,140,70,0,0,70,0,0,10,0,70,70,0,0,0,0,0,0,0,0
12,12,10,24,88,46,28,2,12,23,30,2,8,5,9,3,12,3,5,7,6,0,6,4,4,5,4,5
9,9,32,18,210,131,62,8,9,52,70,8,17,8,16,10,9,14,7,14,12,0,21,16,16,14,15,13
6,6,17,12,77,47,23,1,6,21,24,1,8,5,4,2,6,4,6,3,2,0,6,6,11,4,4,5
4,4,41,8,126,87,32,3,4,39,35,3,9,9,5,15,4,14,6,10,6,0,9,7,4,8,8,9
9,9,39,18,212,134,63,6,9,56,69,6,18,20,11,12,9,12,15,11,16,0,14,12,12,15,18,11
5,5,55,10,207,143,53,6,5,66,59,6,18,14,11,25,5,13,16,19,8,0,10,13,9,12,14,14
8,8,12,16,46,25,11,2,8,10,13,2,4,1,4,4,8,0,2,4,2,0,2,3,1,3,4,2
11,11,18,22,181,154,15,1,11,139,16,1,12,1,1,1,11,51,34,42,3,0,1,2,2,5,7,7
4,4,12,8,39,27,7,1,4,12,8,1,3,2,0,0,4,4,1,4,2,0,2,3,2,3,2,6
11,11,22,22,217,185,17,4,11,171,21,4,16,1,0,6,11,54,39,62,3,0,0,7,3,3,3,5
4,4,13,8,39,24,9,2,4,12,11,2,4,2,1,3,4,4,2,2,3,0,2,2,3,1,1,3
3,3,53,6,105,52,46,4,3,28,50,4,13,8,13,5,3,4,5,6,7,0,12,3,5,4,5,8
10,10,29,20,215,138,59,8,10,69,67,8,21,6,20,12,10,14,9,25,11,0,12,11,10,17,12,17
9,9,41,18,209,61,118,21,9,61,139,21,40,23,28,4,9,12,4,5,6,0,27,4,4,7,10,5
8,8,45,16,209,64,123,14,8,44,137,14,29,19,41,9,8,5,3,7,11,0,34,8,5,6,4,6
8,8,36,16,211,136,57,10,8,61,67,10,17,10,12,14,8,14,14,16,9,0,18,17,11,14,13,14
12,12,24,24,217,143,53,9,12,61,62,9,15,16,9,11,12,14,18,14,11,0,13,13,12,19,16,15
6,6,19,12,56,36,11,3,6,21,14,3,5,3,2,3,6,6,4,6,4,0,1,1,3,6,0,3
5,5,57,10,125,80,40,0,5,80,40,0,0,40,0,0,5,0,40,40,0,0,0,0,0,0,0,0
12,12,41,24,213,135,53,13,12,63,66,13,18,13,14,10,12,14,18,13,14,0,8,14,14,12,16,10
8,8,29,16,122,62,50,2,8,48,52,2,35,6,3,14,8,7,3,3,6,0,6,8,6,3,7,5
7,7,17,14,58,37,13,1,7,15,14,1,3,4,3,3,7,3,3,6,3,0,3,2,0,4,8,5
2,2,5,4,9,6,1,0,2,1,1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,0,0,2
11,11,34,22,212,59,122,20,11,60,142,20,42,22,33,4,11,5,6,7,4,0,25,8,7,9,6,3
5,5,34,10,117,65,41,6,5,33,47,6,16,8,9,9,5,4,6,7,6,0,8,4,8,4,6,11
12,12,25,24,219,140,59,8,12,54,67,8,17,17,12,22,12,15,8,14,15,0,13,8,22,12,16,8
3,3,21,6,39,24,12,0,3,24,12,0,0,12,0,0,3,0,12,12,0,0,0,0,0,0,0,0
8,8,22,16,74,20,46,0,8,38,46,0,33,4,3,9,8,2,0,3,0,0,6,0,1,1,2,2
4,4,4,8,14,8,2,0,4,4,2,0,0,0,2,0,4,2,0,2,0,0,0,1,1,1,0,1
11,11,14,22,122,84,22,5,11,30,27,5,5,4,7,10,11,11,5,9,11,0,6,9,11,2,8,8
6,6,25,12,106,63,30,7,6,26,37,7,7,8,9,7,6,8,3,8,6,0,6,4,6,9,10,2
8,8,14,16,90,62,18,2,8,24,20,2,5,6,5,3,8,6,5,8,3,0,2,8,5,11,7,6
4,4,15,8,45,28,11,2,4,15,13,2,3,3,3,4,4,1,6,5,3,0,2,1,2,1,4,1
12,12,23,24,215,146,53,4,12,58,57,4,20,10,6,16,12,11,14,13,14,0,17,14,13,13,21,17
10,10,31,20,209,109,79,11,10,55,90,11,26,15,25,13,10,10,9,10,10,0,13,8,12,10,13,14
9,9,12,18,50,23,14,4,9,14,18,4,4,5,3,1,9,4,1,5,3,0,2,2,2,0,2,3
7,7,20,14,129,111,11,0,7,99,11,0,10,1,0,2,7,25,32,32,1,0,0,3,6,3,4,3
7,7,5,14,29,17,4,1,7,7,5,1,2,0,1,3,7,0,3,2,2,0,1,2,1,3,0,1
3,3,56,6,102,66,33,0,3,66,33,0,0,33,0,0,3,0,33,33,0,0,0,0,0,0,0,0
9,9,28,18,139,87,37,6,9,38,43,6,12,12,7,7,9,6,10,10,12,0,6,8,7,10,9,8
8,8,32,16,130,90,27,5,8,46,32,5,8,8,8,5,8,9,19,10,11,0,3,6,9,9,6,6
3,3,18,6,39,23,11,2,3,12,13,2,4,1,4,2,3,2,2,4,2,0,2,2,3,1,3,2
3,3,31,6,71,50,18,0,3,31,18,0,9,5,1,5,3,8,7,7,1,0,3,6,2,7,2,5
12,12,34,24,213,135,58,8,12,49,66,8,13,25,13,9,12,8,12,16,15,0,7,17,14,14,16,14
4,4,42,8,124,89,30,1,4,29,31,1,10,7,4,10,4,1,4,14,9,0,9,7,11,9,12,12
6,6,49,12,114,72,36,0,6,72,36,0,0,36,0,0,6,0,36,36,0,0,0,0,0,0,0,0
11,11,16,22,161,136,13,1,11,129,14,1,11,1,0,2,11,37,41,40,2,0,1,3,2,5,3,1
10,10,28,20,209,131,65,3,10,54,68,3,17,14,10,12,10,15,13,9,12,0,24,21,9,20,12,8
12,12,18,24,156,96,42,6,12,37,48,6,11,10,11,20,12,7,10,9,9,0,10,7,11,12,5,6
5,5,36,10,80,50,25,0,5,50,25,0,0,25,0,0,5,0,25,25,0,0,0,0,0,0,0,0
2,2,41,4,68,53,13,0,2,15,13,0,3,4,5,6,2,3,4,5,12,0,1,3,5,7,5,3
2,2,49,4,75,50,23,0,2,19,23,0,4,7,6,4,2,7,4,4,7,0,6,5,4,4,4,7
4,4,13,8,28,16,8,0,4,16,8,0,0,8,0,0,4,0,8,8,0,0,0,0,0,0,0,0
7,7,21,14,114,78,25,4,7,30,29,4,9,7,3,8,7,8,5,8,7,0,6,9,10,6,9,8
2,2,46,4,70,46,22,0,2,20,22,0,8,6,4,6,2,5,2,5,6,0,4,4,3,6,3,6
11,11,15,22,126,79,33,3,11,36,36,3,11,10,9,8,11,7,8,10,11,0,3,6,7,8,6,8
7,7,17,14,71,49,13,2,7,19,15,2,5,4,0,6,7,3,9,2,5,0,4,7,5,5,6,1
9,9,29,18,124,75,34,6,9,30,40,6,7,11,5,8,9,8,7,8,7,0,11,5,7,4,12,9
2,2,10,4,17,12,3,0,2,12,3,0,0,3,0,0,2,0,6,6,0,0,0,0,0,0,0,0
12,12,24,24,214,133,64,5,12,61,69,5,21,14,17,16,12,14,11,15,9,0,12,15,16,18,7,12
5,5,58,10,209,148,47,9,5,65,56,9,15,9,10,20,5,20,19,11,13,0,13,14,9,17,12,13
6,6,49,12,207,123,69,9,6,38,78,9,10,19,25,9,6,12,10,6,17,0,15,11,17,15,15,11
9,9,25,18,213,193,10,1,9,166,11,1,8,0,1,5,9,52,52,54,3,0,1,6,6,4,8,3
7,7,11,14,54,28,15,4,7,15,19,4,4,6,1,1,7,1,6,4,1,0,4,2,5,3,1,4
10,10,34,20,169,79,79,1,10,78,80,1,53,6,9,19,10,4,11,10,6,0,11,6,4,9,4,6
4,4,36,8,76,52,20,0,4,21,20,0,4,6,5,9,4,5,7,5,5,0,5,1,3,6,6,5
6,6,5,12,18,7,5,0,6,2,5,0,1,1,1,0,6,0,0,1,1,0,2,1,0,1,3,0
5,5,32,10,123,81,37,0,5,0,37,0,0,14,14,15,5,0,0,0,8,16,9,11,0,8,14,9
12,12,28,24,218,103,88,15,12,58,103,15,23,20,28,9,12,10,14,11,9,0,17,13,10,9,11,7
11,11,15,22,155,135,8,1,11,124,9,1,7,0,0,2,11,42,30,45,2,0,1,3,6,1,2,2
4,4,31,8,109,91,13,1,4,87,14,1,13,0,0,1,4,28,29,17,2,0,0,4,3,2,4,1
7,7,34,14,185,132,43,3,7,62,46,3,17,10,9,18,7,12,14,19,17,0,7,9,7,14,11,11
2,2,12,4,19,13,4,0,2,2,4,0,0,1,3,1,2,2,0,0,3,0,0,3,2,0,1,1
8,8,28,16,163,103,43,9,8,45,52,9,13,9,11,6,8,9,12,11,11,0,10,10,9,7,12,16
6,6,97,12,222,144,72,0,6,144,72,0,0,72,0,0,6,0,72,72,0,0,0,0,0,0,0,0
10,10,26,20,190,120,50,10,10,53,60,10,18,5,12,14,10,7,14,14,10,0,15,11,17,7,13,13
5,5,29,10,134,118,11,0,5,110,11,0,10,0,0,3,5,35,39,26,3,0,1,1,3,4,2,2
8,8,23,16,98,58,29,3,8,25,32,3,8,11,6,4,8,7,4,6,9,0,4,4,9,6,7,2
9,9,34,18,213,121,73,10,9,56,83,10,20,15,21,10,9,9,14,13,11,0,17,14,10,14,13,13
3,3,36,6,80,57,19,1,3,28,20,1,7,4,5,7,3,9,5,7,8,0,3,5,2,3,6,5
8,8,35,16,210,141,52,9,8,56,61,9,19,11,14,15,8,10,15,12,8,0,8,17,14,14,16,20
6,6,38,12,209,185,17,1,6,169,18,1,13,1,0,4,6,51,62,43,4,0,3,1,2,6,5,7
9,9,35,18,158,73,68,8,9,62,76,8,43,6,7,17,9,6,8,5,6,0,12,7,4,7,12,1
10,10,32,20,216,117,74,15,10,50,89,15,19,24,15,13,10,9,16,6,13,0,16,10,13,15,9,13
6,6,13,12,39,20,12,1,6,11,13,1,4,6,1,2,6,0,5,2,1,0,1,0,2,2,2,4
11,11,21,22,212,182,19,0,11,164,19,0,13,2,1,4,11,65,43,43,5,0,3,1,4,7,6,4
7,7,40,14,207,138,51,11,7,64,62,11,16,9,18,15,7,23,13,12,14,0,8,11,13,6,13,18
12,12,19,24,212,185,14,1,12,157,15,1,11,1,1,7,12,46,49,51,7,0,1,7,5,6,4,3
5,5,42,10,129,50,67,7,5,35,74,7,19,16,19,4,5,4,6,6,7,0,13,8,3,4,5,3
4,4,56,8,172,124,36,8,4,53,44,8,13,12,3,20,4,11,18,11,7,0,8,6,13,12,18,8
2,2,16,4,28,23,3,0,2,5,3,0,1,2,0,2,2,2,2,0,2,0,0,2,2,6,4,1
4,4,24,8,57,17,33,3,4,14,36,3,10,8,6,5,4,1,1,2,2,0,9,0,2,2,0,2
10,10,85,20,220,140,70,0,10,140,70,0,0,70,0,0,10,0,70,70,0,0,0,0,0,0,0,0
11,11,26,22,216,135,70,0,11,0,70,0,0,24,23,16,11,0,0,0,12,25,23,24,0,17,20,21
4,4,6,8,21,14,3,0,4,0,3,0,0,1,2,3,4,0,0,0,1,5,0,0,0,2,1,2
12,12,35,24,215,131,60,12,12,53,72,12,11,24,12,13,12,13,15,14,10,0,13,15,14,12,15,10
6,6,57,12,205,77,107,15,6,53,122,15,33,23,32,6,6,3,10,7,7,0,19,12,8,14,7,3
9,9,27,18,132,78,43,2,9,25,45,2,8,19,10,8,9,4,9,4,10,0,6,10,10,5,10,8
12,12,85,24,228,144,72,0,12,144,72,0,0,72,0,0,12,0,72,72,0,0,0,0,0,0,0,0
10,10,8,20,68,48,8,2,10,49,10,2,7,0,1,3,10,15,9,18,0,0,0,0,2,0,1,0
7,7,15,14,52,30,14,1,7,16,15,1,5,3,2,1,7,6,3,2,3,0,4,6,2,2,1,4
3,3,13,6,31,21,6,1,3,5,7,1,1,1,4,3,3,0,1,3,2,0,0,0,1,1,4,6
8,8,7,16,40,20,8,4,8,12,12,4,4,2,1,1,8,3,2,3,1,0,1,1,4,2,2,1
2,2,11,4,15,12,1,0,2,2,1,0,0,0,0,3,2,1,0,1,1,0,1,2,1,0,3,0
7,7,35,14,212,176,25,4,7,167,29,4,20,4,1,7,7,45,51,51,2,0,0,5,2,4,5,4
12,12,25,24,219,136,61,10,12,64,71,10,24,12,16,10,12,14,11,15,16,0,9,7,7,19,18,19
9,9,31,18,209,135,60,5,9,54,65,5,13,11,17,7,9,11,11,19,16,0,19,17,15,13,13,13
7,7,44,14,177,55,99,16,7,50,115,16,26,25,22,6,7,9,5,10,7,0,26,2,8,2,4,2
10,10,10,20,34,13,7,4,10,8,11,4,5,1,0,2,10,0,1,2,1,0,1,2,1,1,2,1
4,4,25,8,64,28,28,4,4,14,32,4,7,7,6,2,4,0,2,5,5,0,8,4,3,1,3,3
10,10,21,20,165,116,33,6,10,42,39,6,13,9,6,3,10,7,11,11,12,0,5,18,13,12,12,17
6,6,49,12,209,129,63,11,6,59,74,11,22,14,10,14,6,10,15,12,11,0,17,20,15,11,16,5
5,5,50,10,185,121,53,6,5,53,59,6,20,11,10,8,5,8,16,9,13,0,12,16,10,14,11,16
8,8,29,16,114,79,20,7,8,20,27,7,2,2,12,7,8,3,8,7,11,0,4,12,9,8,5,9
12,12,17,24,95,60,16,7,12,23,23,7,4,3,3,7,12,4,9,6,1,0,6,6,5,10,4,8
6,6,46,12,207,141,51,9,6,55,60,9,13,11,10,15,6,18,15,9,22,0,17,10,15,11,14,12
3,3,51,6,121,88,28,2,3,36,30,2,9,10,5,11,3,10,7,10,7,0,4,10,10,7,9,7
5,5,28,10,82,42,33,2,5,26,35,2,16,4,4,9,5,1,3,6,5,0,9,5,4,4,4,1
12,12,24,24,212,134,62,4,12,51,66,4,19,15,13,22,12,9,11,12,9,0,15,13,18,9,16,15
2,2,40,4,59,37,20,0,2,15,20,0,9,6,3,8,2,3,3,0,6,0,2,4,4,1,2,6
5,5,57,10,194,126,56,7,5,69,63,7,23,11,10,14,5,12,18,16,10,0,12,13,13,12,10,8
9,9,15,18,98,56,29,4,9,29,33,4,15,5,4,9,9,4,5,5,3,0,5,7,5,3,7,8
2,2,30,4,51,40,9,0,2,18,9,0,4,1,2,7,2,4,8,2,3,0,2,3,4,0,5,4
11,11,40,22,204,135,51,7,11,55,58,7,16,9,9,10,11,11,13,15,16,0,17,8,16,12,16,18
3,3,50,6,101,51,45,2,3,29,47,2,18,12,9,6,3,3,2,6,1,0,6,4,7,7,7,8
11,11,27,22,215,135,56,13,11,56,69,13,15,21,12,13,11,15,13,13,11,0,8,8,13,18,15,16
10,10,12,20,57,34,11,2,10,11,13,2,1,4,4,2,10,3,6,1,2,0,2,2,7,5,3,3
10,10,33,20,178,104,57,7,10,42,64,7,14,23,8,13,10,8,8,12,12,0,12,9,13,9,12,8
5,5,12,10,25,6,14,0,5,11,14,0,11,0,0,5,5,0,0,0,0,0,3,0,0,1,0,0
5,5,52,10,208,151,52,0,5,0,52,0,0,21,17,28,5,0,0,0,25,20,14,19,0,17,23,19
8,8,11,16,64,36,16,4,8,14,20,4,3,5,8,2,8,4,4,3,3,0,0,3,3,3,7,4
6,6,19,12,61,39,15,1,6,20,16,1,4,3,2,3,6,5,9,2,5,0,6,3,4,5,2,1
10,10,29,20,213,126,77,0,10,0,77,0,0,34,21,24,10,0,0,0,23,14,22,22,0,15,12,16
4,4,79,8,160,104,52,0,4,104,52,0,0,52,0,0,4,0,52,52,0,0,0,0,0,0,0,0
11,11,28,22,180,59,92,18,11,49,110,18,29,25,20,4,11,7,6,7,6,0,18,4,5,9,7,4
4,4,18,8,40,27,8,1,4,11,9,1,1,2,4,0,4,2,3,5,3,0,1,5,0,5,2,2
8,8,13,16,39,16,14,1,8,8,15,1,3,8,3,2,8,0,2,3,1,0,0,3,3,0,0,2
6,6,36,12,144,77,50,11,6,46,61,11,17,14,13,3,6,10,7,12,6,0,6,6,11,4,7,11
6,6,12,12,46,20,17,3,6,12,20,3,6,7,2,3,6,2,4,0,0,0,2,3,6,1,1,0
6,6,20,12,97,71,17,3,6,20,20,3,3,4,7,9,6,6,4,7,8,0,3,9,5,9,7,7
12,12,23,24,201,124,61,4,12,63,65,4,19,20,7,16,12,13,11,20,7,0,15,13,14,11,10,9
8,8,14,16,89,59,21,1,8,21,22,1,6,7,4,11,8,6,6,3,4,0,4,7,1,4,6,11
2,2,39,4,63,48,13,0,2,15,13,0,5,2,4,5,2,4,0,6,9,0,2,5,5,3,5,6
12,12,25,24,219,133,67,7,12,65,74,7,21,13,17,20,12,14,17,13,13,0,16,14,10,10,8,14
5,5,25,10,93,63,21,4,5,22,25,4,2,10,5,8,5,7,6,7,5,0,4,7,7,6,7,3
4,4,9,8,31,22,5,0,4,10,5,0,1,0,1,3,4,2,5,2,1,0,3,2,2,2,2,1
2,2,39,4,61,42,17,0,2,25,17,0,10,4,0,3,2,6,4,5,3,0,3,2,5,8,3,3
2,2,41,4,78,72,4,0,2,63,4,0,4,0,0,0,2,16,18,25,0,0,0,2,3,5,1,2
6,6,41,12,129,81,40,2,6,40,42,2,18,7,10,11,6,10,3,9,9,0,5,11,4,7,8,9
3,3,81,6,147,96,48,0,3,96,48,0,0,48,0,0,3,0,48,48,0,0,0,0,0,0,0,0
2,2,59,4,98,76,20,0,2,28,20,0,6,7,3,4,2,6,7,9,7,0,4,9,8,10,8,8
9,9,31,18,211,138,60,4,9,67,64,4,17,18,13,13,9,22,12,16,18,0,12,10,13,10,11,13
3,3,39,6,114,108,3,0,3,98,3,0,2,0,1,1,3,38,29,29,2,0,0,2,1,1,1,4
5,5,36,10,115,66,39,5,5,27,44,5,12,13,8,9,5,6,1,8,7,0,6,7,6,4,8,10
2,2,24,4,38,28,8,0,2,10,8,0,2,3,1,6,2,5,2,1,2,0,2,1,2,3,5,1
5,5,43,10,192,167,17,3,5,145,20,3,13,0,2,4,5,40,51,41,6,0,2,6,3,4,7,5
5,5,48,10,190,142,36,7,5,45,43,7,7,5,8,12,5,10,14,14,18,0,16,21,15,13,12,13
5,5,51,10,170,104,58,3,5,52,61,3,22,12,11,16,5,6,13,11,11,0,13,6,9,14,7,11
9,9,12,18,36,18,9,0,9,18,9,0,0,9,0,0,9,0,9,9,0,0,0,0,0,0,0,0
4,4,44,8,151,122,25,0,4,0,25,0,0,7,9,11,4,0,0,0,16,18,9,21,0,16,16,24
5,5,12,10,49,33,11,0,5,0,11,0,0,2,2,3,5,0,0,0,6,5,7,3,0,7,5,4
8,8,91,16,224,144,72,0,8,144,72,0,0,72,0,0,8,0,72,72,0,0,0,0,0,0,0,0
10,10,22,20,160,98,44,8,10,52,52,8,15,10,7,8,10,7,15,15,6,0,12,11,6,8,15,7
8,8,24,16,87,33,43,3,8,39,46,3,31,1,4,11,8,2,4,2,2,0,7,3,3,2,4,0
4,4,12,8,39,26,9,0,4,9,9,0,3,5,0,0,4,3,2,1,3,0,1,1,4,3,5,4
6,6,22,12,76,18,48,4,6,16,52,4,11,13,14,6,6,1,2,2,1,0,10,2,2,1,0,1
10,10,28,20,120,44,62,4,10,58,66,4,49,2,4,11,10,2,3,4,1,0,7,4,4,5,6,4
2,2,33,4,58,48,8,0,2,17,8,0,4,2,1,8,2,5,6,2,2,0,1,8,8,4,2,3
3,3,31,6,57,36,18,0,3,36,18,0,0,18,0,0,3,0,18,18,0,0,0,0,0,0,0,0
11,11,8,22,44,23,8,2,11,7,10,2,1,2,4,3,11,3,2,1,3,0,1,1,1,1,5,3
5,5,17,10,68,46,17,0,5,25,17,0,5,1,8,6,5,6,10,4,4,0,3,0,4,3,7,2
10,10,12,20,69,13,41,5,10,12,46,5,9,10,10,1,10,1,0,2,2,0,12,1,2,1,1,2
12,12,25,24,215,128,65,10,12,68,75,10,25,15,12,13,12,13,9,21,9,0,13,14,16,12,9,12
6,6,42,12,165,87,57,15,6,46,72,15,20,9,12,7,6,9,10,7,7,0,16,18,5,8,6,10
6,6,30,12,157,132,15,4,6,121,19,4,13,2,0,2,6,45,32,31,3,0,0,2,4,4,6,3
4,4,32,8,76,53,16,3,4,19,19,3,7,3,5,6,4,3,5,4,5,0,1,4,8,10,5,3
12,12,12,24,106,60,30,4,12,23,34,4,9,9,6,6,12,4,6,4,6,0,6,8,7,6,10,3
11,11,26,22,212,136,56,9,11,64,65,9,18,8,15,11,11,20,15,11,12,0,15,17,10,13,19,8
6,6,36,12,163,109,43,5,6,42,48,5,16,11,7,9,6,6,9,11,10,0,9,16,10,15,10,13
8,8,16,16,92,53,26,5,8,14,31,5,4,8,6,3,8,5,4,1,7,0,8,7,5,8,8,5
2,2,14,4,22,14,6,0,2,3,6,0,0,0,3,0,2,1,1,1,3,0,3,2,2,2,2,0
3,3,12,6,25,11,11,0,3,6,11,0,2,4,2,2,3,1,2,1,0,0,3,0,1,2,1,1
9,9,16,18,129,106,13,1,9,98,14,1,10,3,0,1,9,28,31,29,2,0,0,2,4,2,5,2
6,6,45,12,208,143,56,3,6,43,59,3,12,12,15,14,6,12,9,10,9,0,17,16,22,14,19,18
8,8,27,16,130,43,72,7,8,39,79,7,19,18,18,9,8,4,6,10,2,0,17,1,4,3,0,4
9,9,33,18,213,132,65,7,9,52,72,7,13,16,18,20,9,5,12,22,17,0,18,13,9,13,13,8
10,10,18,20,138,86,42,0,10,0,42,0,0,13,18,16,10,0,0,0,11,9,11,13,0,11,14,12
8,8,9,16,52,30,12,2,8,12,14,2,3,4,3,8,8,3,1,5,2,0,2,1,3,3,1,3
4,4,37,8,115,80,31,0,4,32,31,0,9,8,12,8,4,6,9,8,14,0,2,11,8,6,3,7
7,7,39,14,211,148,50,6,7,47,56,6,10,15,10,11,7,12,12,13,18,0,15,16,16,22,16,12
8,8,8,16,60,48,4,0,8,42,4,0,4,0,0,4,8,16,10,12,1,0,0,1,1,1,2,0
11,11,27,22,147,89,44,3,11,37,47,3,8,17,9,8,11,4,15,10,9,0,10,13,6,9,5,10
12,12,85,24,228,144,72,0,12,144,72,0,0,72,0,0,12,0,72,72,0,0,0,0,0,0,0,0
2,2,58,4,97,76,19,0,2,30,19,0,3,8,4,8,2,9,12,6,6,0,4,9,8,3,10,5
3,3,56,6,132,94,34,1,3,30,35,1,10,8,5,16,3,7,5,8,12,0,11,13,11,6,9,7
6,6,9,12,38,18,12,2,6,7,14,2,5,3,1,1,6,1,1,0,0,0,3,4,2,5,2,2
12,12,30,24,168,108,40,8,12,39,48,8,10,8,8,13,12,7,18,4,10,0,14,13,9,15,6,13
6,6,3,12,12,2,4,0,6,0,4,0,0,0,1,0,6,0,0,0,1,0,3,0,0,0,0,1
7,7,47,14,209,128,71,3,7,77,74,3,36,9,12,15,7,18,14,9,12,0,14,11,14,13,10,12
3,3,31,6,71,50,14,4,3,15,18,4,5,2,5,2,3,2,2,6,8,0,2,4,4,8,7,7
6,6,13,12,64,45,12,1,6,21,13,1,6,1,2,4,6,5,4,6,2,0,3,8,5,4,4,3
9,9,36,18,169,83,72,5,9,56,77,5,42,12,6,18,9,5,1,8,8,0,12,14,6,7,11,5
3,3,55,6,108,53,47,5,3,30,52,5,16,10,11,5,3,5,7,2,6,0,10,6,7,3,4,8
4,4,60,8,191,143,39,5,4,46,44,5,10,8,9,8,4,11,13,12,10,0,12,15,22,16,15,21
12,12,12,24,105,63,27,3,12,24,30,3,9,10,1,9,12,5,3,7,9,0,7,4,8,7,3,8
10,10,29,20,123,66,35,12,10,34,47,12,12,8,7,4,10,6,6,10,3,0,8,6,9,7,6,9
4,4,8,8,21,7,9,1,4,1,10,1,0,4,2,1,4,1,0,0,1,0,3,0,2,1,0,1
6,6,50,12,206,116,74,10,6,46,84,10,15,17,23,9,6,14,8,9,14,0,19,15,13,13,13,8
11,11,40,22,214,93,105,5,11,87,110,5,65,13,10,18,11,9,7,6,11,0,17,6,7,7,12,10
11,11,27,22,211,114,86,0,11,0,86,0,0,25,32,16,11,0,0,0,16,20,29,16,0,15,13,18
8,8,45,16,210,69,116,17,8,68,133,17,44,24,18,5,8,1,9,14,12,0,30,8,5,7,3,5
12,12,25,24,213,132,57,12,12,63,69,12,19,15,14,22,12,17,19,8,10,0,9,9,8,10,15,14
6,6,37,12,207,186,15,0,6,173,15,0,14,0,0,5,6,61,44,54,3,0,1,6,4,5,3,1
9,9,20,18,137,85,43,0,9,0,43,0,0,12,17,15,9,0,0,0,13,19,14,10,0,10,7,11
9,9,36,18,177,97,68,3,9,69,71,3,46,11,1,17,9,9,8,6,10,0,10,11,12,7,8,9
3,3,28,6,65,43,19,0,3,0,19,0,0,9,6,9,3,0,0,0,6,5,4,9,0,7,1,6
3,3,14,6,35,25,7,0,3,12,7,0,1,3,1,1,3,4,5,2,5,0,2,5,0,1,0,2
9,9,33,18,212,132,62,9,9,59,71,9,14,20,13,15,9,16,18,11,13,0,15,13,15,10,7,14
7,7,21,14,130,111,7,5,7,93,12,5,7,0,0,4,7,30,35,21,3,0,0,2,6,5,2,3
10,10,35,20,174,81,80,3,10,78,83,3,56,8,7,20,10,4,12,6,5,0,9,7,9,7,7,4
11,11,17,22,110,31,59,9,11,28,68,9,17,21,12,2,11,2,3,6,6,0,9,3,2,2,2,3
11,11,31,22,159,95,46,7,11,34,53,7,7,15,14,13,11,8,9,10,10,0,10,6,11,4,12,12
3,3,12,6,29,19,7,0,3,0,7,0,0,1,3,2,3,0,0,0,2,4,3,5,0,1,2,3
8,8,29,16,114,72,28,6,8,28,34,6,8,8,3,8,8,9,5,6,7,0,9,5,13,9,7,3
6,6,39,12,179,122,47,4,6,55,51,4,17,13,4,14,6,14,10,14,9,0,13,12,10,14,11,14
4,4,19,8,44,22,16,2,4,13,18,2,9,1,2,6,4,1,1,2,0,0,4,1,4,2,1,4
3,3,36,6,88,65,20,0,3,24,20,0,9,3,6,10,3,4,6,5,10,0,2,5,4,11,5,5
8,8,81,16,200,128,64,0,8,128,64,0,0,64,0,0,8,0,64,64,0,0,0,0,0,0,0,0
5,5,8,10,20,9,6,0,5,6,6,0,4,0,1,1,5,0,0,2,1,0,1,0,3,0,1,1
10,10,28,20,212,141,54,7,10,58,61,7,18,12,17,17,10,13,17,10,13,0,7,13,11,20,15,12
4,4,27,8,87,64,17,2,4,31,19,2,5,3,4,5,4,6,7,13,4,0,5,6,3,3,10,7
5,5,15,10,59,38,16,0,5,0,16,0,0,6,6,9,5,0,0,0,2,5,4,9,0,5,3,5
12,12,85,24,228,144,72,0,12,144,72,0,0,72,0,0,12,0,72,72,0,0,0,0,0,0,0,0
4,4,5,8,14,6,4,0,4,2,4,0,1,2,1,3,4,1,0,0,0,0,0,0,0,0,0,2
6,6,26,12,141,121,13,1,6,117,14,1,12,1,0,1,6,32,42,31,5,0,0,1,2,4,1,2
12,12,18,24,152,87,48,5,12,28,53,5,9,19,11,17,12,2,5,12,6,0,9,12,10,3,11,9
2,2,22,4,29,12,15,0,2,8,15,0,5,2,6,0,2,1,1,1,1,0,2,2,1,3,1,1
2,2,16,4,29,25,2,0,2,8,2,0,0,1,1,3,2,4,3,1,3,0,0,1,1,4,4,1
